Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
agnews,padd,sliding,100,gradual,1.0,1.0,1.0,192.0,23310.0,0.0,8.5,341.6667,0.5,0.0
agnews,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,8.5,341.6667,0.5,1.0
agnews,padd,sliding,100,__GLOBAL__,1.0,0.6667,0.8,172.0,27806.5,0.0,8.5,341.6667,0.5,0.3333
agnews,mmd,sliding,100,sudden,0.3333,1.0,0.5,107.0,19115.0,0.001689,0.0,379.6667,0.5,2.0
agnews,mmd,sliding,100,gradual,0.3333,1.0,0.5,61.0,8708.0,0.001689,0.0,379.6667,0.5,2.0
agnews,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.001689,0.0,379.6667,0.5,3.0
agnews,mmd,sliding,100,__GLOBAL__,0.5,0.6667,0.5714,84.0,13911.5,0.001689,0.0,379.6667,0.5,1.0
agnews,padd,sliding,100,sudden,1.0,1.0,1.0,107.0,19117.0,0.0,61.0,341.0,0.5,0.0
agnews,padd,sliding,100,gradual,1.0,1.0,1.0,299.0,39758.0,0.0,61.0,341.0,0.5,0.0
agnews,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,61.0,341.0,0.5,1.0
agnews,padd,sliding,100,__GLOBAL__,1.0,0.6667,0.8,203.0,29437.5,0.0,61.0,341.0,0.5,0.3333
agnews,mmd,sliding,100,sudden,0.5,1.0,0.6667,91.0,35801.0,0.000875,0.0,355.3333,0.5,1.0
agnews,mmd,sliding,100,gradual,0.5,1.0,0.6667,134.0,26522.0,0.000875,0.0,355.3333,0.5,1.0
agnews,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000875,0.0,355.3333,0.5,2.0
agnews,mmd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,112.5,31161.5,0.000875,0.0,355.3333,0.5,0.6667
agnews,padd,sliding,100,sudden,1.0,1.0,1.0,91.0,35803.0,0.0,27.5,354.6667,0.5,0.0
agnews,padd,sliding,100,gradual,1.0,1.0,1.0,191.0,27339.0,0.0,27.5,354.6667,0.5,0.0
agnews,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,27.5,354.6667,0.5,1.0
agnews,padd,sliding,100,__GLOBAL__,1.0,0.6667,0.8,141.0,31571.0,0.0,27.5,354.6667,0.5,0.3333
agnews,mmd,sliding,100,sudden,0.5,1.0,0.6667,91.0,32454.0,0.000857,0.0,355.3333,0.5,1.0
agnews,mmd,sliding,100,gradual,0.5,1.0,0.6667,134.0,22546.0,0.000857,0.0,355.3333,0.5,1.0
agnews,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000857,0.0,355.3333,0.5,2.0
agnews,mmd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,112.5,27500.0,0.000857,0.0,355.3333,0.5,0.6667
agnews,padd,sliding,100,sudden,1.0,1.0,1.0,91.0,32457.0,0.0,9.5,346.6667,0.5,0.0
agnews,padd,sliding,100,gradual,1.0,1.0,1.0,179.0,23168.0,0.0,9.5,346.6667,0.5,0.0
agnews,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,9.5,346.6667,0.5,1.0
agnews,padd,sliding,100,__GLOBAL__,1.0,0.6667,0.8,135.0,27812.5,0.0,9.5,346.6667,0.5,0.3333
agnews,mmd,sliding,100,sudden,0.5,1.0,0.6667,74.0,32374.0,0.000864,0.0,361.0,0.5,1.0
agnews,mmd,sliding,100,gradual,0.5,1.0,0.6667,117.0,22453.0,0.000864,0.0,361.0,0.5,1.0
agnews,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000864,0.0,361.0,0.5,2.0
agnews,mmd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,95.5,27413.5,0.000864,0.0,361.0,0.5,0.6667
agnews,padd,sliding,100,sudden,1.0,1.0,1.0,74.0,32377.0,0.0,9.0,350.0,0.5,0.0
agnews,padd,sliding,100,gradual,1.0,1.0,1.0,168.0,23133.0,0.0,9.0,350.0,0.5,0.0
agnews,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,9.0,350.0,0.5,1.0
agnews,padd,sliding,100,__GLOBAL__,1.0,0.6667,0.8,121.0,27755.0,0.0,9.0,350.0,0.5,0.3333
agnews,mmd,sliding,100,sudden,0.5,1.0,0.6667,130.0,33326.0,0.000872,0.0,392.6667,0.5,1.0
