Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
newsgroups,mmd,sliding,200,gradual,0.0,0.0,0.0,nan,nan,0.00085,0.0,918.6667,2.0,2.0
newsgroups,mmd,sliding,200,recurring,0.0,0.0,0.0,nan,nan,0.00085,0.0,918.6667,2.0,2.0
newsgroups,mmd,sliding,200,__GLOBAL__,0.5,0.3333,0.4,222.0,35054.0,0.00085,0.0,918.6667,2.0,1.0
newsgroups,padd,sliding,200,sudden,1.0,1.0,1.0,222.0,35057.0,0.0,0.0,918.6667,2.0,0.0
newsgroups,padd,sliding,200,gradual,0.0,0.0,0.0,nan,nan,0.0,0.0,918.6667,2.0,1.0
newsgroups,padd,sliding,200,recurring,0.0,0.0,0.0,nan,nan,0.0,0.0,918.6667,2.0,1.0
newsgroups,padd,sliding,200,__GLOBAL__,1.0,0.3333,0.5,222.0,35057.0,0.0,0.0,918.6667,2.0,0.6667
newsgroups,mmd,sliding,200,sudden,1.0,1.0,1.0,281.0,33840.0,0.0,8.0,349.6667,0.5,0.0
newsgroups,mmd,sliding,200,gradual,1.0,1.0,1.0,167.0,23031.0,0.0,8.0,349.6667,0.5,0.0
newsgroups,mmd,sliding,200,recurring,0.0,0.0,0.0,nan,nan,0.0,8.0,349.6667,0.5,1.0
newsgroups,mmd,sliding,200,__GLOBAL__,1.0,0.6667,0.8,224.0,28435.5,0.0,8.0,349.6667,0.5,0.3333
newsgroups,padd,sliding,200,sudden,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,padd,sliding,200,gradual,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,padd,sliding,200,recurring,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,padd,sliding,200,__GLOBAL__,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan
newsgroups,mmd,sliding,200,sudden,1.0,1.0,1.0,201.0,35166.0,0.0,0.0,932.6667,2.0,0.0
newsgroups,mmd,sliding,200,gradual,0.0,0.0,0.0,nan,nan,0.0,0.0,932.6667,2.0,1.0
newsgroups,mmd,sliding,200,recurring,0.0,0.0,0.0,nan,nan,0.0,0.0,932.6667,2.0,1.0
newsgroups,mmd,sliding,200,__GLOBAL__,1.0,0.3333,0.5,201.0,35166.0,0.0,0.0,932.6667,2.0,0.6667
newsgroups,padd,sliding,200,sudden,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,padd,sliding,200,gradual,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,padd,sliding,200,recurring,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,padd,sliding,200,__GLOBAL__,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan
newsgroups,mmd,sliding,200,sudden,1.0,1.0,1.0,145.0,30020.0,0.0,0.0,970.0,2.0,0.0
newsgroups,mmd,sliding,200,gradual,0.0,0.0,0.0,nan,nan,0.0,0.0,970.0,2.0,1.0
newsgroups,mmd,sliding,200,recurring,0.0,0.0,0.0,nan,nan,0.0,0.0,970.0,2.0,1.0
